timestamp,open,high,low,close,volume,trade_count,vwap,actual_returns,sma_short_window,sma_long_window,RSI,EMA,signal,contrarian_signal,Strategy_Returns,contrarian_Strategy_Returns
2021-05-27 09:31:00+00:00,417.94,417.94,417.94,417.94,605,4,417.940083,7.178579119893058e-05,417.966,418.1029999999999,54.845555309727615,40.55299539170456,1.0,-1.0,,
2021-05-27 09:32:00+00:00,417.94,417.94,417.94,417.94,300,2,417.94,0.0,417.96449999999993,418.0947999999999,54.845555309727615,40.55299539170456,1.0,-1.0,0.0,-0.0
2021-05-27 09:33:00+00:00,417.97,417.99,417.97,417.99,400,3,417.98,0.00011963439728202019,417.96549999999996,418.0869999999999,77.46630022409279,41.94580491343274,1.0,-1.0,0.00011963439728202019,-0.00011963439728202019
2021-05-27 09:34:00+00:00,417.98,417.98,417.98,417.98,110,4,417.977455,-2.392401732098648e-05,417.966,418.0809999999999,67.34506683174676,41.74619478878954,-1.0,1.0,-2.392401732098648e-05,2.392401732098648e-05
2021-05-27 09:36:00+00:00,417.98,417.98,417.98,417.98,106,3,417.980189,0.0,417.96999999999997,418.07299999999987,67.34506683174678,41.746194788789545,1.0,-1.0,-0.0,0.0
2021-05-27 09:37:00+00:00,418.01,418.01,418.01,418.01,200,3,417.975,7.177376907985256e-05,417.9755,418.06619999999987,82.64798605607962,42.599450466300624,1.0,-1.0,7.177376907985256e-05,-7.177376907985256e-05
2021-05-27 09:38:00+00:00,418.0,418.03,418.0,418.03,300,2,418.01,4.784574531702113e-05,417.98249999999996,418.06059999999985,88.18485759047635,43.165751913370386,1.0,-1.0,4.784574531702113e-05,-4.784574531702113e-05
2021-05-27 09:43:00+00:00,417.91,417.91,417.89,417.89,208,5,417.90101,-0.0003349041934789243,417.98,418.0521999999998,20.270258353434027,40.32411595090592,-1.0,1.0,-0.0003349041934789243,0.0003349041934789243
2021-05-27 09:44:00+00:00,417.89,417.89,417.89,417.89,600,2,417.89,0.0,417.9775000000001,418.04299999999984,20.27025835343403,40.32411595090592,1.0,-1.0,-0.0,0.0
2021-05-27 09:45:00+00:00,417.83,417.83,417.83,417.83,430,7,417.84214,-0.00014357845366008704,417.9705000000001,418.03279999999984,11.631965051601933,39.17333995386851,-1.0,1.0,-0.00014357845366008704,0.00014357845366008704
2021-05-27 09:50:00+00:00,417.89,417.96,417.89,417.96,300,3,417.926667,0.00031113132135085486,417.96600000000007,418.02719999999977,62.948524463473554,42.78339677506652,1.0,-1.0,-0.00031113132135085486,0.00031113132135085486
2021-05-27 09:51:00+00:00,417.97,417.97,417.9,417.92,801,11,417.916554,-9.57029380801444e-05,417.96000000000004,418.0205999999998,49.64309055297113,42.00074668071025,-1.0,1.0,-9.57029380801444e-05,9.57029380801444e-05
2021-05-27 09:53:00+00:00,417.95,417.95,417.95,417.95,212,4,417.95,7.178407350671989e-05,417.95500000000004,418.0121999999998,59.31712530324093,42.801524474536194,1.0,-1.0,-7.178407350671989e-05,7.178407350671989e-05
2021-05-27 09:54:00+00:00,417.96,417.97,417.96,417.97,201,3,417.964975,4.785261394912865e-05,417.94899999999996,418.00419999999986,65.87320315310369,43.333751284459794,1.0,-1.0,4.785261394912865e-05,-4.785261394912865e-05
2021-05-27 09:55:00+00:00,417.9,417.9,417.9,417.9,106,3,417.897453,-0.0001674761346509568,417.9405,417.9951999999999,35.68348588251688,41.940008051644575,-1.0,1.0,-0.0001674761346509568,0.0001674761346509568
2021-05-27 10:00:00+00:00,417.81,417.81,417.8,417.8,275,4,417.805855,-0.00023929169657799232,417.93149999999997,417.98539999999986,18.00311977393229,40.06172097050238,-1.0,1.0,0.00023929169657799232,-0.00023929169657799232
2021-05-27 10:01:00+00:00,417.7,417.71,417.7,417.7,758,12,417.702361,-0.00023934897079946893,417.91849999999994,417.97499999999985,10.327530518324288,38.3109462581259,-1.0,1.0,0.00023934897079946893,-0.00023934897079946893
