timestamp,open,high,low,close,volume,trade_count,vwap
2021-05-27 08:00:00+00:00,418.11,418.15,418.1,418.1,4302,31,418.110718
2021-05-27 08:03:00+00:00,418.35,418.35,418.35,418.35,818,6,418.349804
2021-05-27 08:04:00+00:00,418.32,418.35,418.32,418.35,1550,6,418.33871
2021-05-27 08:05:00+00:00,418.35,418.38,418.35,418.38,1505,4,418.375914
2021-05-27 08:07:00+00:00,418.28,418.28,418.27,418.28,600,5,418.275
2021-05-27 08:08:00+00:00,418.38,418.38,418.38,418.38,201,3,418.38
2021-05-27 08:09:00+00:00,418.35,418.35,418.35,418.35,400,3,418.35
2021-05-27 08:10:00+00:00,418.31,418.31,418.31,418.31,350,4,418.308571
2021-05-27 08:11:00+00:00,418.31,418.31,418.31,418.31,221,4,418.316244
2021-05-27 08:13:00+00:00,418.35,418.35,418.35,418.35,133,3,418.353759
2021-05-27 08:15:00+00:00,418.34,418.34,418.34,418.34,202,4,418.34
2021-05-27 08:16:00+00:00,418.24,418.24,418.24,418.24,501,3,418.24012
2021-05-27 08:17:00+00:00,418.25,418.25,418.25,418.25,103,4,418.250777
2021-05-27 08:21:00+00:00,418.34,418.37,418.34,418.37,487,3,418.351068
2021-05-27 08:26:00+00:00,418.38,418.38,418.37,418.37,250,2,418.374
2021-05-27 08:27:00+00:00,418.35,418.35,418.35,418.35,101,2,418.350396
2021-05-27 08:33:00+00:00,418.29,418.29,418.29,418.29,473,6,418.293214
2021-05-27 08:37:00+00:00,418.22,418.22,418.22,418.22,200,2,418.22
2021-05-27 08:38:00+00:00,418.22,418.22,418.22,418.22,103,3,418.219806
2021-05-27 08:39:00+00:00,418.17,418.17,418.17,418.17,100,1,418.17
2021-05-27 08:40:00+00:00,418.19,418.19,418.18,418.18,1000,5,418.183
2021-05-27 08:41:00+00:00,418.18,418.18,418.17,418.18,642,7,418.17595
2021-05-27 08:42:00+00:00,418.18,418.18,418.18,418.18,2500,6,418.18
2021-05-27 08:46:00+00:00,418.12,418.12,418.12,418.12,1010,5,418.12
2021-05-27 08:47:00+00:00,418.07,418.07,418.07,418.07,201,4,418.0601
2021-05-27 08:48:00+00:00,418.01,418.01,418.01,418.01,221,4,418.014661
2021-05-27 08:49:00+00:00,417.99,417.99,417.99,417.99,251,9,417.990637
2021-05-27 08:51:00+00:00,418.05,418.05,418.05,418.05,101,2,418.050099
2021-05-27 08:54:00+00:00,417.92,417.92,417.88,417.88,1443,13,417.898184
2021-05-27 08:55:00+00:00,417.84,417.84,417.81,417.82,1328,10,417.822666
2021-05-27 08:56:00+00:00,417.95,417.95,417.95,417.95,505,2,417.950297
2021-05-27 08:58:00+00:00,417.87,417.87,417.87,417.87,550,3,417.878218
2021-05-27 08:59:00+00:00,417.97,417.97,417.97,417.97,500,2,417.97
2021-05-27 09:00:00+00:00,417.97,417.97,417.97,417.97,504,3,417.969841
2021-05-27 09:01:00+00:00,418.0,418.0,417.97,417.97,200,2,417.985
2021-05-27 09:02:00+00:00,417.9,417.9,417.9,417.9,120,3,417.901333
2021-05-27 09:05:00+00:00,417.9,417.9,417.9,417.9,300,3,417.9
2021-05-27 09:07:00+00:00,417.9,417.94,417.89,417.89,476,6,417.910903
2021-05-27 09:08:00+00:00,417.9,417.97,417.9,417.94,476,4,417.9375
2021-05-27 09:09:00+00:00,417.94,417.94,417.92,417.94,844,12,417.934372
2021-05-27 09:10:00+00:00,417.94,417.99,417.94,417.97,526,7,417.968118
2021-05-27 09:11:00+00:00,417.97,418.05,417.97,418.05,269,3,418.003457
2021-05-27 09:12:00+00:00,418.04,418.06,418.03,418.04,476,6,418.0425
2021-05-27 09:15:00+00:00,418.05,418.05,418.05,418.05,105,2,418.051429
2021-05-27 09:17:00+00:00,418.06,418.09,418.06,418.09,300,2,418.08
2021-05-27 09:21:00+00:00,418.07,418.07,418.07,418.07,111,4,418.068559
2021-05-27 09:23:00+00:00,418.01,418.01,417.96,417.98,2570,15,417.980907
2021-05-27 09:26:00+00:00,417.96,417.96,417.96,417.96,104,3,417.959231
2021-05-27 09:27:00+00:00,417.91,417.91,417.91,417.91,450,3,417.91
2021-05-27 09:28:00+00:00,417.91,417.91,417.87,417.87,301,3,417.883389
2021-05-27 09:30:00+00:00,417.91,417.91,417.91,417.91,459,4,417.909913
2021-05-27 09:31:00+00:00,417.94,417.94,417.94,417.94,605,4,417.940083
2021-05-27 09:32:00+00:00,417.94,417.94,417.94,417.94,300,2,417.94
2021-05-27 09:33:00+00:00,417.97,417.99,417.97,417.99,400,3,417.98
2021-05-27 09:34:00+00:00,417.98,417.98,417.98,417.98,110,4,417.977455
2021-05-27 09:36:00+00:00,417.98,417.98,417.98,417.98,106,3,417.980189
2021-05-27 09:37:00+00:00,418.01,418.01,418.01,418.01,200,3,417.975
2021-05-27 09:38:00+00:00,418.0,418.03,418.0,418.03,300,2,418.01
2021-05-27 09:43:00+00:00,417.91,417.91,417.89,417.89,208,5,417.90101
2021-05-27 09:44:00+00:00,417.89,417.89,417.89,417.89,600,2,417.89
2021-05-27 09:45:00+00:00,417.83,417.83,417.83,417.83,430,7,417.84214
2021-05-27 09:50:00+00:00,417.89,417.96,417.89,417.96,300,3,417.926667
2021-05-27 09:51:00+00:00,417.97,417.97,417.9,417.92,801,11,417.916554
2021-05-27 09:53:00+00:00,417.95,417.95,417.95,417.95,212,4,417.95
2021-05-27 09:54:00+00:00,417.96,417.97,417.96,417.97,201,3,417.964975
2021-05-27 09:55:00+00:00,417.9,417.9,417.9,417.9,106,3,417.897453
2021-05-27 10:00:00+00:00,417.81,417.81,417.8,417.8,275,4,417.805855
2021-05-27 10:01:00+00:00,417.7,417.71,417.7,417.7,758,12,417.702361
2021-05-27 10:02:00+00:00,417.69,417.72,417.69,417.72,400,3,417.6975
2021-05-27 10:03:00+00:00,417.76,417.76,417.76,417.76,168,3,417.748571
2021-05-27 10:05:00+00:00,417.89,417.89,417.89,417.89,240,3,417.882917
2021-05-27 10:09:00+00:00,417.89,417.89,417.89,417.89,173,3,417.891098
2021-05-27 10:15:00+00:00,418.02,418.02,418.02,418.02,275,2,418.024545
2021-05-27 10:16:00+00:00,418.07,418.08,418.04,418.06,4560,27,418.052862
2021-05-27 10:17:00+00:00,418.1,418.14,418.09,418.13,9409,57,418.103095
2021-05-27 10:18:00+00:00,418.05,418.05,418.05,418.05,304,5,418.066974
2021-05-27 10:19:00+00:00,418.11,418.11,418.11,418.11,300,3,418.11
2021-05-27 10:20:00+00:00,418.14,418.14,418.14,418.14,100,1,418.14
2021-05-27 10:21:00+00:00,418.13,418.13,418.13,418.13,145,3,418.115724
2021-05-27 10:23:00+00:00,418.03,418.03,418.03,418.03,601,6,418.030116
2021-05-27 10:25:00+00:00,418.04,418.04,417.99,417.99,3646,30,418.026382
2021-05-27 10:26:00+00:00,417.99,417.99,417.99,417.99,478,3,417.99
2021-05-27 10:31:00+00:00,418.04,418.04,418.02,418.02,3824,29,418.036046
2021-05-27 10:32:00+00:00,418.03,418.03,418.03,418.03,200,2,418.03
2021-05-27 10:33:00+00:00,418.04,418.04,418.02,418.02,1435,14,418.035296
2021-05-27 10:35:00+00:00,418.04,418.1,418.04,418.1,1200,4,418.085833
2021-05-27 10:36:00+00:00,418.1,418.1,418.1,418.1,301,2,418.1
2021-05-27 10:37:00+00:00,418.1,418.1,418.09,418.09,957,7,418.092539
2021-05-27 10:40:00+00:00,418.12,418.12,418.12,418.12,478,2,418.12
2021-05-27 10:42:00+00:00,418.06,418.06,418.06,418.06,201,3,418.0601
2021-05-27 10:44:00+00:00,418.16,418.16,418.16,418.16,200,2,418.16
2021-05-27 10:47:00+00:00,418.19,418.19,418.19,418.19,239,2,418.192929
2021-05-27 10:53:00+00:00,418.2,418.2,418.2,418.2,201,3,418.2
2021-05-27 10:54:00+00:00,418.16,418.16,418.16,418.16,100,1,418.16
2021-05-27 10:56:00+00:00,418.17,418.17,418.17,418.17,400,1,418.17
2021-05-27 10:58:00+00:00,418.13,418.17,418.13,418.17,203,4,418.149557
2021-05-27 10:59:00+00:00,418.18,418.2,418.18,418.18,4000,12,418.181488
2021-05-27 11:00:00+00:00,418.18,418.21,418.17,418.17,6732,26,418.175082
2021-05-27 11:01:00+00:00,418.16,418.22,418.16,418.21,1131,11,418.201583
2021-05-27 11:02:00+00:00,418.2,418.22,418.2,418.22,510,5,418.204294
2021-05-27 11:03:00+00:00,418.23,418.23,418.23,418.23,140,5,418.229857
2021-05-27 11:04:00+00:00,418.28,418.31,418.28,418.31,1217,15,418.304002
2021-05-27 11:05:00+00:00,418.34,418.34,418.25,418.25,1091,13,418.300632
2021-05-27 11:06:00+00:00,418.27,418.29,418.24,418.24,3214,27,418.262853
2021-05-27 11:07:00+00:00,418.24,418.24,418.24,418.24,1105,6,418.24009
2021-05-27 11:08:00+00:00,418.28,418.28,418.24,418.24,5361,17,418.268209
2021-05-27 11:09:00+00:00,418.23,418.27,418.23,418.27,760,10,418.249118
2021-05-27 11:10:00+00:00,418.25,418.26,418.25,418.26,718,15,418.25688
2021-05-27 11:11:00+00:00,418.2,418.28,418.2,418.28,500,8,418.2182
2021-05-27 11:13:00+00:00,418.28,418.28,418.28,418.28,404,3,418.279901
2021-05-27 11:14:00+00:00,418.27,418.27,418.27,418.27,231,4,418.272684
2021-05-27 11:15:00+00:00,418.27,418.27,418.27,418.27,965,8,418.269016
2021-05-27 11:17:00+00:00,418.39,418.39,418.39,418.39,2170,9,418.389447
